날짜,"01
프린터앞","02
프린터위","03
부스내부","04
부스외부"
01-21 9:00,-6,3.9,-4.6,-7.5
01-21 9:01,-6.1,3.9,-4.6,-7.5
01-21 9:02,-6,4,-4.6,-7.6
01-21 9:03,-6,4,-4.6,-7.7
01-21 9:04,-6.1,4,-4.5,-7.6
01-21 9:05,-6.1,3.9,-4.6,-7.6
01-21 9:06,-6.1,3.9,-4.5,-7.5
01-21 9:07,-6.1,3.9,-4.5,-7.5
01-21 9:08,-6.1,3.9,-4.6,-7.5
01-21 9:09,-6.1,3.9,-4.5,-7.4
01-21 9:10,-6.1,4,-4.5,-7.5
01-21 9:11,-6.1,3.9,-4.5,-7.5
01-21 9:12,-6.1,3.8,-4.5,-7.5
01-21 9:13,-6.1,3.8,-4.5,-7.4
01-21 9:14,-6.1,3.8,-4.5,-7.4
01-21 9:15,-6.1,3.8,-4.5,-7.4
01-21 9:16,-6.1,3.8,-4.5,-7.5
01-21 9:17,-6.1,3.7,-4.5,-7.5
01-21 9:18,-6.1,3.8,-4.5,-7.4
01-21 9:19,-6.1,3.8,-4.4,-7.5
01-21 9:20,-6.1,3.8,-4.4,-7.5
01-21 9:21,-6,3.9,-4.4,-7.5
01-21 9:22,-6,3.9,-4.4,-7.4
01-21 9:23,-6.1,3.8,-4.4,-7.4
01-21 9:24,-6,3.8,-4.3,-7.3
01-21 9:25,-6,3.8,-4.3,-7.4
01-21 9:26,-6,3.9,-4.3,-7.4
01-21 9:27,-6,3.8,-4.3,-7.3
01-21 9:28,-6,3.8,-4.3,-7.3
01-21 9:29,-6,3.8,-4.3,-7.3
01-21 9:30,-5.9,3.8,-4.3,-7.2
01-21 9:31,-6,3.8,-4.2,-7.2
01-21 9:32,-6,3.8,-4.2,-7.1
01-21 9:33,-6,3.8,-4.2,-7
01-21 9:34,-5.9,3.7,-4.1,-6.9
01-21 9:35,-5.9,3.7,-4.1,-6.9
01-21 9:36,-5.9,3.7,-4.1,-6.8
01-21 9:37,-5.8,3.7,-4.1,-6.8
01-21 9:38,-5.8,3.7,-4.1,-6.7
01-21 9:39,-5.8,3.8,-4,-7
01-21 9:40,-5.7,3.9,-4,-7
01-21 9:41,-5.7,3.9,-3.9,-7
01-21 9:42,-5.7,3.9,-4,-6.9
01-21 9:43,-5.7,3.9,-3.9,-7
01-21 9:44,-5.7,3.9,-3.9,-7.1
01-21 9:45,-5.7,4,-3.8,-7.1
01-21 9:46,-5.7,4,-3.9,-6.9
01-21 9:47,-5.6,4,-3.8,-6.9
01-21 9:48,-5.6,4,-3.8,-6.9
01-21 9:49,-5.6,4,-3.8,-6.8
01-21 9:50,-5.6,4,-3.8,-6.8
01-21 9:51,-5.6,4.1,-3.8,-6.7
01-21 9:52,-5.6,4.1,-3.7,-6.7
01-21 9:53,-5.5,4.1,-3.7,-6.6
01-21 9:54,-5.5,4.1,-3.7,-6.5
01-21 9:55,-5.5,4.1,-3.6,-6.4
01-21 9:56,-5.5,4.1,-3.6,-6.3
01-21 9:57,-5.4,4.1,-3.6,-6.2
01-21 9:58,-5.4,4.1,-3.6,-6.3
01-21 9:59,-5.4,4.1,-3.5,-6.3
01-21 10:00,-5.4,4.2,-3.5,-6.3
01-21 10:01,-5.4,4.2,-3.4,-6.5
01-21 10:02,-5.3,4.3,-3.4,-6.6
01-21 10:03,-5.3,4.3,-3.4,-6.5
01-21 10:04,-5.2,4.3,-3.4,-6.6
01-21 10:05,-5.2,4.3,-3.3,-6.5
01-21 10:06,-5.2,4.3,-3.3,-6.4
01-21 10:07,-5.2,4.2,-3.3,-6.3
01-21 10:08,-5.1,4.3,-3.2,-6.1
01-21 10:09,-5.1,4.3,-3.2,-6
01-21 10:10,-5,4.4,-3.2,-6
01-21 10:11,-5,4.4,-3.1,-6.1
01-21 10:12,-4.9,4.4,-3.1,-6.1
